date,aggregated_news,news_count
2023-05-10,jahja setiaatmadja bca bbca pilih fokus pasar dalam negeri [SEP] asing banyak melego sahamsaham ini saat ihsg ditutup menguat kemarin,2
2023-05-11,5 langkah cara beli saham bbca ada cashback points [SEP] ihsg makin ambles sesi i jeblok 118,2
2023-05-12,begini rekomendasi saham goto ggrm  silo yang terkena rotasi indeks msci,1
2023-05-15,cara beli saham bca secara online lewat hp [SEP] ada di daftar pemegang saham bca bbca ternyata anthoni salim punya segini,2
2023-05-23,harga saham bank blue chip naik terus mana yang bagus dibeli [SEP] investasi reksa dana vs saham bri mana yang terbaik,2
2023-05-24,investment outlook pola sell in may akan terjadi di 2023 atau justru teknikal rebound,1
2023-05-25,saham bbcabmri lompat usai bi tahan suku bunga bbtn terpeleset,1
2023-05-29,direktur bank bca subur tan raup rp 915 miliar hasil jualan 1 juta saham bbca,1
2023-06-05,lagi dan lagi 2 sosok ini dinobatkan jadi orang terkaya di indonesia,1
2023-06-06,9 sumber kekayaan hartono bersaudara tembus rp 70748 triliun,1
2023-06-08,saham army terancam dihapus bei 97 saham asabri tersangkut,1
2023-06-12,30 saham blue chip syariah 2023,1
2023-06-13,keunggulan saham bbca sebagai bank swasta terbesar di indonesia,1
2023-06-19,alasan saham bbri banyak peminatnya,1
2023-06-21,pemegang saham restui emiten boy thohir palm buyback,1
2023-06-22,bca bbca buka suara soal masuknya mitra strategis di bca life,1
2023-07-04,prediksi 10 saham yang potensial untuk investasi jangka panjang 2023,1
2023-07-05,saham perbankan dan performanya ada bbni hingga bbca,1
2023-07-10,jajaran 100 orang terkaya dunia ada low tuck kwong  duo hartono,1
2023-07-17,cara menyakinkan diri saat investasi saham jangka panjang [SEP] deretan 5 saham net buy  sell terbesar investor asing  market,2
2023-07-24,mencari saham ipo yang bisa seperti bbca minimal adro [SEP] heboh beredar peringatan virus di aplikasi mobile banking bca jangan klik apapun,2
2023-07-25,berita saham hari ini  dana asing banjiri pasar ri laba bbca meroket penjualan unvr turun,1
2023-07-27,ihsg dibuka menguat saham bbca paling laris usai pengumuman the fed [SEP] bca bbca angkat bicara soal ramai enam juta data nasabahnya bocor,2
2023-07-28,ini temuan bca soal pop up virus di aplikasi mobile banking [SEP] modus penipuan makin canggih bca komitmen jaga data nasabah [SEP] inilah rekomendasi 7 saham yang tepat untuk investasi jangka panjang,3
2023-08-02,analisis saham bbca periode agustus 2023  kompasianacom,1
2023-08-04,terbaru segini harta duo hartono di bank bca bbca,1
2023-08-09,ojk mau atur dividen bank mana dengan rasio dividen jumbo,1
2023-08-10,kenapa bbca naik terus untuk idxbbca oleh wayaneko,1
2023-08-14,bank mandiri pecah saham ini nasib saham pasca stock split,1
2023-08-21,bos bca kasih hadiah saham rp 37 m ke anaknya [SEP] presiden direktur bca jahja setiaatmadja hibahkan saham bbca kepada anak nilainya sentuh rp 74 miliar [SEP] bos bca hibahkan 8 juta saham bbca ke 2 anak divestasi total rp74 miliar [SEP] bos bca hibahkan 8 juta saham bbca ke anak total divestasi rp74 miliar [SEP] ini sosok putri yang dapat hibah saham bca bbca dari ayahnya bernilai puluhan miliar [SEP] alasan bos bca hibahkan saham rp74 m agar anak nikmati cuan,6
2023-08-22,cerita bos bca hibahkan 8 juta saham bbca ke anaknya mewariskan aset itu hal biasa [SEP] segini sisa saham bbca kepunyaan jahja setiaatmadja usai hibah [SEP] bos bca kasih saham rp 74 m kepada dua anaknya,3
2023-08-23,kronologi bos bca beri hibah saham buat dua anaknya rp 74 miliar,1
2023-08-24,investor asing koleksi 10 saham ini ada bbca hingga auto,1
2023-08-28,kekayaan saham bos bca tersisa rp304 m usai hibahkan saham rp74 m,1
2023-09-04,heboh hibah saham bbca rp 74 miliar ini respons anak bos bca,1
2023-09-05,pablo malay exercise 160 juta mesop rp2 saham goto turun 323,1
2023-09-07,anak usaha trans power marine tpma dapat fasilitas kredit bca senilai rp1 triliun,1
2023-09-11,ihsg melemah pagi ini tersandung penurunan saham bca bri dan amman,1
2023-09-12,bca syariah tak tutup pintu ipo [SEP] saldo rp0  tak aktif 12 bulan bca akan tutup rekening kamu [SEP] bca akan tutup rekening rp 0 dan tidak aktif,3
2023-09-14,orang dekat lkh pilih investasi saham karena bisa cuan 20,1
2023-09-18,profil armand hartono anak orang terkaya ri yang kini pimpin aei  market,1
2023-09-25,layanan mbca error ramai jadi perbincangan warga net,1
2023-09-26,mbanking dan atm bca error lagi,1
2023-10-02,alasan bca tutup rekening saldo 0 dan tak aktif,1
2023-10-03,berita saham hari ini  yield treasury as tertinggi bbca laba rp317 triliun koka ptps dan strk ipo,1
2023-10-04,10 saham perbankan masuk indeks bank premium mana yang masih layak dikoleksi,1
2023-10-09,ihsg hari ini rawan koreksi cek rekomendasi saham berikut,1
2023-10-10,ihsg sesi 1 melonjak ke 6940 saham bbca bbri ammn laris,1
2023-10-16,pendiri tokopedia jual saham goto tanda exit strategy,1
2023-10-18,sahamsaham ini jadi favorit investor asing tetap selektif jika ingin koleksi [SEP] bren dan ammn newbie di 10 big caps bisa sampai kapan,2
2023-10-23,pertumbuhan bank solid hingga oktober 2023 saham bmri bbni bbri dan bbca pilihan teratas [SEP] suku bunga tinggi momen beli saham bagus harga murah [SEP] tajir bankir bca ini punya kekayaan hampir rp 1 triliun dari investasi saham [SEP] ihsg sepekan asing buy on weakness di saham tlkm saham nicl dan bren paling untung,4
2023-10-30,saham blue chip 2023 apa saja,1
2023-10-31,ketika guru besar tanya saham bca ke lo kheng hong ini jawabnya [SEP] 3 bank ri dengan laba terbesar cek sahamnya [SEP] bca hadirkan produk reksadana pendapatan tetap dalam mata uang usd kelas a,3
2023-11-01,raih untung besar inilah saham blue chip yang prospek bagus untuk investasi [SEP] raih untung besar inilah saham blue chip yang prospek bagus untuk investasi,2
2023-11-06,saham bbca dan goto bersinar di ihsg saat pertumbuhan ekonomi ri terhambat kok bisa  sumeksradiodiswayid,1
2023-11-08,cara daftar bareksa saham 8 langkah mudah buka rdn untuk trading saham,1
2023-11-09,gurita bisnis salim kuasai ritel hingga tambang emas ri,1
2023-11-14,jelang window dressing ini saham yang bisa kasih cuan,1
2023-11-15,6 saham ini disarankan untuk day trading [SEP] intip harta orang terkaya ri dari dividen sosok ini terbesar,2
2023-11-23,bca bagikan dividen interim tunai rp 4250 per saham naik 214 yoy [SEP] lupakan bren 5 saham ini bisa bangkit di window dressing [SEP] investor kakap lepas beberapa saham perbankan waktunya cicil beli [SEP] harga tren naik analis sarankan beli saham blue chip bank yang dijual investor kakap,4
2023-11-24,bca tebar dividen interim group djarum dapat jatah rp287 triliun,1
2023-11-27,rangkuman rekomendasi saham hari ini 27 november 2023,1
2023-11-29,bca bbca prediksi pdb per kapita indonesia tahun 2030 sekitar us 800010000 [SEP] direktur bca beberkan faktor yang buat dividen bbca terus meningkat [SEP] data center bca bakal beroperasi pada 2025,3
2023-11-30,saham ammn resmi diperdagangkan sebagai konstituen msci hari ini,1
2023-12-04,10 saham market cap terbesar ri adu kuat hartono vs prajogo,1
2023-12-05,daftar sektor dan saham pilihan analis serta strategi investasi pada 2024 [SEP] deretan saham murah bekal investor saat window dressing [SEP] simak rekomendasi sektor saham yang menarik pada tahun 2024,3
2023-12-08,melihat kinerja saham emiten 3 orang terkaya di indonesia,1
2023-12-11,perjalanan bren meraih tahta tertinggi di pasar modal indonesia [SEP] auto kaya deretan saham konsisten kasih dividen 20 tahun,2
2023-12-13,saham bbca mahal banget tapi jadi idaman banyak investor,1
2023-12-15,investor saham bersiap menerima dividen besar rp 9 triliun,1
2023-12-18,meta akan lepas kepengendalian margautama nusantara demi bayar utang rp4 triliun,1
2023-12-19,rekam jejak harga saham grup djarum di 2023 supr memimpin kenaikan,1
2023-12-25,waktu terbaik taking profit saham big bank,1
2023-12-26,jadi raja ipo 2023 begini sederet capaian bren,1
2023-12-28,deretan perusahaan raksasa tebar dividen jumbo bribcaadro,1
2023-12-29,samuel sekuritas ihsg menguat pantau bbca bbni ammn medc ctra dan pgas [SEP] bca bagikan dividen interim rp4250 per saham ini bocorannya,2
2024-01-01,ini emiten bank dengan return saham tertinggi dan paling cuan sepanjang 2023,1
2024-01-02,harga saham bank jumbo bbri bmri bbca bbni saat ihsg all time high,1
2024-01-04,sejumlah emiten perbankan ini beri sinyal tebar dividen dan rekomendasi analis [SEP] net buy rp 13 triliun duit asing mengalir ke sahamsaham ini [SEP] saham bank jumbo bmri bbca bbri bbni all time high cek rekomendasinya,3
2024-01-09,pemilik wings  grup djarum sempat diisukan hengkang dari ikn,1
2024-01-15,awal tahun 2 petinggi bca jual saham miliaran rupiah,1
2024-01-16,gerak saham bbca bmri bbri  bbni jelang pengumuman bi rate,1
2024-01-17,hasil rdg bi tahan bi rate belum dorong ihsg saham gotobbca merah,1
2024-01-24,siapsiap sebentar lagi 4 bank raksasa ri bakal adu laba tertinggi,1
2024-01-25,video laba bbca tumbuh 194 jadi rp486 t di 2023 [SEP] ditutup merah saham bbca bbni bmri dan bbri kompak tekan ihsg [SEP] bank central asia bbca profit soars 194 to idr 486 trillion in 2023,3
2024-01-26,berapa dividen bbca 2024 cek riwayat 2 dekade  kisikisi terkini,1
2024-01-29,wall street dan harga emas menguat hrum akuisisi wmi kredit korporasi bbca melesat [SEP] laba bank bca bbca 2023 sebesar 486t naik 194,2
2024-01-30,wall street melemah harga minyak dan emas menguat bbri laba rp6043 triliun [SEP] saham blue chip di tahun politik mana yang prospektif [SEP] jci tuesday potentially consolidate banking stocks can be an option,3
2024-01-31,prospek saham bbca bbri bbni mana yang menarik diborong,1
2024-02-05,cgscimb sekuritas catatkan 6 waran terstruktur ada bbca bmri mdka unvr tlkm hingga goto [SEP] sahamsaham favorit investor asing sepekan bbca tlkm unvr tpia masuk daftar [SEP] jangan asal klik bca bbca minta nasabah waspadai modus penipuan ini,3
2024-02-12,cetak rekor harga saham market cap bbca tembus rp1208 triliun,1
2024-02-15,saham bbca diborong asing cetak rekor harga tertinggi  market [SEP] saham bbca diborong asing cetak rekor harga tertinggi [SEP] bca bbca gelar rupst bulan depan intip perkiraan dividen yang dibagi,3
2024-02-16,anthoni salim pegang saham bca bbca segini [SEP] anthoni salim pegang saham bca bbca segini [SEP] net buy asing tak terbendung saham ini terus dikoleksi,3
2024-02-20,fantastis biaya sekolah sma binus serpong setara 10100 lembar saham bbca,1
2024-02-21,belajar dari vincent sekolahin anak di binus butuh 105 lot bbca,1
2024-02-22,ada emiten rights issue rp 67 triliun bca bbca ikut ambil bagian [SEP] bos bca sebut harga saham masih wajar belum ada rencana stock split  kumparancom,2
2024-02-26,cetak laba rp 235 t emiten ini segera rights issue bca bbca ikut ambil bagian [SEP] kisah bos bca hibahkan saham senilai rp 74 miliar ke anak,2
2024-02-28,ini kata bos bbca soal potensi stock split usai saham tembus rp 10000,1
2024-02-29,saham bbca sentuh rp 10000  dekati ath bakal stock split lagi,1
2024-03-07,saham bank besar bbca bbri bmri dibuka loncat siap ikut borong atau jual [SEP] saham emiten ini melejit dikoleksi anthoni salim hingga disebut lo kheng hong wonderful,2
2024-03-08,saham bbca cetak rekor lagi di rp10200 investor tunggu dividen [SEP] bca bbca sahamnya melejit jelang rupst sempat dibilang lo kheng hong begini,2
2024-03-12,cara membeli saham bbca melalui aplikasi,1
2024-03-13,pasar koreksi pasca rekor saham bbca bris dan ssia naik hingga 89 mau take profit,1
2024-03-14,bca bbca akan bagikan lagi dividen rp22750 per saham [SEP] meski rasio naik dividen yield bca tampak mini dan kurang menarik [SEP] dividend yield diprediksi naik harga saham bbca dibuka langsung melesat [SEP] tok bca tebar dividen rp 33 triliun ke investor atau rp 270saham [SEP] ada saham cetak rekor dikoleksi anthoni salim hingga dipuji lo kheng hong [SEP] video bca tebar dividen rp 270 per saham [SEP] gelar rups bca tebar dividen rp 270 per lembar saham [SEP] simak rekomendasi saham bank yang bakal bagikan dividen dari bbca hingga bmri,8
2024-03-18,jangan sampai terlewat ini jadwal pembayaran dividen bbca total rp 28 triliun [SEP] saham alfamart amrt paling banyak diborong investor asing diapit bbca dan bbri [SEP] cara beli saham di harga tinggi tapi tetep berpeluang cuan [SEP] sikap blackrock hingga goldman sachs untuk saham 4 bank besar ri [SEP] bbca bagibagi duit lagi bersiap terima dividen jumbo maret 2024,5
2024-03-19,begini caranya kalau mau dapat dividen bca bbca [SEP] ini jadwal pembagian dividen tunai bbca [SEP] bca mau bagi thr dividen rp 3328 t catat tanggal cum datenya [SEP] dividen besar bank jumbo bbri bmri bbca dan bbni [SEP] begini caranya kalau mau dapat dividen bca bbca,5
2024-03-25,bos bbca jahja setiaatmadja borong saham di harga rp10107 [SEP] pekan lalu diborong direksikomisaris tapi kok saham bbca loyo [SEP] saham asii bbca bbri mdka dan tlkm jadi underlying kontrak berjangka saham [SEP] dirut bca jahja setiaatmadja tambah kepemilikan saham bbca,4
2024-03-26,bbca laba bersih naik 194 dan all time high bukti solid kinerja perusahaan [SEP] direksi dan komisaris bca bbca aktif borong saham saat momen bagibagi dividen,2
2024-03-27,lagi direksi bank bca bbca tambah kepemilikan saham [SEP] musim dividen 100 lot saham bri mandiri bca kamu dapat berapa [SEP] mau dapat dividen rp5 jutabulan dari big bank harus modal berapa,3
2024-03-28,ihsg bisa tembus 7400 cek saham bbcactra,1
2024-04-01,investor asing mudik saham bank besar ini tertekan [SEP] saham the big four bank kompak merosot waktunya serok atau lepas [SEP] investor asing mudik saham bank besar ini tertekan,3
2024-04-03,rupiah melemah bikin ihsg dan saham bank berguguran bbca  bbri turun 2 [SEP] saham big bank koreksi mana yang sudah murah,2
2024-04-05,10 perusahaan paling berharga di asean bank bca  bri jadi juara [SEP] anak orang terkaya di indonesia raup cuan miliaran dari thr dividen bca,2
2024-04-08,kekayaan bos bca  djarum kalahkan pemilik manchester united  market,1
2024-04-16,ihsg merah pasca liburan bbri dan bbca anjlok 4 tapi antrean beli segini [SEP] untung maksimal dari saham bbca cek analisis dan rekomendasinya [SEP] faktor global tekan pasar saham pasca libur investasi ini jaga portofolio tetap kuat,3
2024-04-17,harga saham bbca hari ini 17 april 2024 kembali menghijau,1
2024-04-22,ihsg ditutup melemah setelah keputusan mk saham bbca bren medc lesu,1
2024-04-23,prospek bumi yang berencana melakukan kuasi reorganisasi [SEP] kinerja bbca di kuartal i 2024 mengesankan segini target harga sahamnya,2
2024-04-24,ihsg tancap gas jelang pengumuman suku bunga bi saham bmri bbca  bbni cuan,1
2024-04-25,saham bbca vs bbri siapa yang paling menarik [SEP] empat saham safe haven  aman dari gejolak rupiah,2
2024-04-29,punya saham excl mapi akra hingga bbca cuan dua reksadana manulife melambung,1
2024-05-01,cuan reksadana sucorinvest dan manulife ngegas punya saham excl bbri asii hingga pgas,1
2024-05-03,daftar saham sektor keuangan di bursa efek indonesia,1
2024-05-06,investor wajib tahu ini aturan baru stock split,1
2024-05-07,saham bbri oversold  tahan atau beli,1
2024-05-13,5 saham yang bisa bagger dalam 37 tahun lagi,1
2024-05-17,ini 10 saham untuk warisan anak cucu bbca hingga roti [SEP] saham bank turun terus bagaimana prospeknya ke depan,2
2024-05-20,bren lebih baik dari bbca ini jawaban peter lynch [SEP] reksadana saham bahana dan kisi melesat punya saham bbca bmri mbma hingga nckl [SEP] mau pensiun dari duit dividen bank berapa modalnya,3
2024-05-22,ihsg dibuka menguat jelang libur panjang saham bbri dan bbca topang transaksi bursa [SEP] harga saham melonjak 14 kali lipat bren salip bca jadi penguasa ihsg,2
2024-05-27,harga wajar saham bbca update kuartal 1 2024,1
2024-05-30,valuasi saham perbankan big caps setelah harganya ambruk makin murah,1
2024-05-31,tinggalkan level 7000 ihsg ditutup melemah 090 persen,1
2024-06-03,jahja setiaatmadja presdir bca tambah kepemilikan saham bbca [SEP] saham bank jumbo bri bca mandiri rebound lanjut naik nggak nih,2
2024-06-04,membaca sinyal bottoming dari rebound saham big banks,1
2024-06-05,6 jurus investasi anti nyangkut di saham bbca dan bbri [SEP] cerita bos bca kasih saham rp74 m untuk 2 putrinya,2
2024-06-10,10 saham dengan market cap terbesar di bei 2024 [SEP] cara beli saham bca online untuk pemula [SEP] deretan saham bank big caps yang memiliki valuasi terdiskon,3
2024-06-12,jangan telat masuk ini daftar saham yield dividen terbesar  ada ptba adro itmg asii hingga antm,1
2024-06-21,petaka anjloknya saham big bank pada 2015 mirip kayak 2024,1
2024-06-24,berapa harga saham bca 1 lot begini gambaran keuntungan yang diperoleh investor [SEP] stock pick bank besar topang ihsg ini rekomendasi trading saham bbca bren dan pgas,2
2024-06-27,10 saham terbaik untuk investasi jangka panjang,1
2024-06-28,prediksi pergerakan ihsg hari ini jumat 28 juni cek saham bbca dan saham bbri  suara merdeka,1
2024-07-01,bbca merger bca finance dan bca multifinance sudah disetujui ojk [SEP] bareksa insight  ihsg bakal naik di bulan juli ini saham dan reksadana pilihannya,2
2024-07-04,ihsg berpotensi naik di juliagustus seberapa cerah prospek saham bbri bmri bbni dan bbca,1
2024-07-10,tembus rp29 juta per lot saham dssa jadi saham termahal di indonesia  sinar harapan,1
2024-07-12,total ekuitas dari pt bank central asia tbk  idxbbca,1
2024-07-15,intip saham pilihan dari grup djarum dan grup lippo [SEP] catat ini barisan konglomerat penguasa saham emiten papan atas di bursa indonesia,2
2024-07-16,bca bbca melatih merchant di lombok tingkatkan omset,1
2024-07-19,kgi sekuritas terbitkan 2 waran terstruktur baru ini keunggulannya,1
2024-07-24,tahun ini bca tidak ada rencana stock split saham [SEP] harga saham tembus rp 10075 bca pastikan tak akan stock split di 2024  kumparancom,2
2024-07-25,kinerja keuangan bca cemerlang di semester i 2024 ini rekomendasi saham bbca [SEP] rilis kinerja paruh pertama bbri vs bbca mana yang terbaik [SEP] kgi sekuritas terbitkan 2 waran terstruktur dengan aset dasar bbca dan tlkm [SEP] npl bca bbca naik ini penyebabnya [SEP] beda arah saham bbri dan bbca usai rilis kinerja semester i2024 waktunya serok [SEP] mandiri sekuritas jagokan saham myor dan bca [SEP] kredit naik 155 tumbuh positif di seluruh segmen,7
2024-07-29,laba tumbuh dua digit saham bbca tembus all time high,1
2024-08-01,ihsg berotot ke atas level 7300 saham bmri dan bbca jadi primadona investor asing  sinar harapan [SEP] ihsg berotot ke atas level 7300 saham bmri dan bbca jadi primadona investor asing  sinar harapan,2
2024-08-02,harga saham bca terbaru 2024  data historisnya,1
2024-08-05,target saham bca bbca direvisi naik potensi cuan makin besar [SEP] ihsg sesi i melesat 193 saham bbca bbri dan bmri melambung [SEP] perbankan tetap menarik di 2024 saham empat bank besar direkomendasikan beli [SEP] saat ihsg terjun saham emiten milik prajogo ini bren justru cetak ath hingga market cap pepet bbca [SEP] saat ihsg rebound asing masih lanjut net sell bbri dan tlkm [SEP] net sell membesar jadi rp 212 triliun empat saham bank ini diobral investor asing [SEP] ihsg rebound cek sahamsaham tercuan berikut [SEP] waspadai penurunan ihsg lebih lanjut saham essa dan mark layak dipantau,8
2024-08-06,prajogo pangestu kehilangan harta kekayaan rp356 triliun semalam [SEP] awal perdagangan lima saham ini angkat ihsg ke zona hijau,2
2024-08-08,mirae asset sekuritas rekomendasikan 9 saham pilihan untuk investor dan trader begini alasannya [SEP] net buy berlanjut rp 47856 miliar asing buru saham bbca,2
2024-08-13,bca bbca buka kantor cabang baru di ikn [SEP] saham goto diprediksi masih bertenaga ke level 70 ini sentimennya,2
2024-08-15,ihsg di zona hijau simak rekomendasi saham bbca adro hingga bsde,1
2024-08-16,saat ihsg merah investor asing diamdiam akumulasi 10 saham ini [SEP] bos bca bbca bukabukaan prospek ipo anak usaha usai merger,2
2024-08-19,bca bbca buka suara soal potensi ipo anak usaha bca digital blu,1
2024-08-21,net buy asing terus meningkat rp 179 triliun saham bank ini kembali diborong [SEP] ihsg sesi i lanjutkan penguatan saham polu cetak ara,2
2024-08-22,simak saham yang tahan banting jelang pilkada 2024,1
2024-08-23,tembus rekor tertinggi lebih cuan emas atau saham dalam jangka panjang,1
2024-08-26,contoh perhitungan potensi profit trading dengan xtra day trading [SEP] melesat dan diborong asing agustus 2024 seberapa jauh saham bri bbri bisa naik,2
2024-08-28,harga saham tembus rp 10 ribu bbca bakal stock split lagi,1
2024-09-03,bca finance dan bca multi finance resmi merger ini nasib nasabahnya,1
2024-09-04,bca resmi gabungkan 2 anak usaha apa tujuannya,1
2024-09-05,kapitalisasi di atas rp 100 triliun cermati saham big cap berikut,1
2024-09-06,daftar 10 saham ri dengan kapitalisasi pasar terbesar bbca bukan no 1 [SEP] bbca minta emiten tri ramadi penuhi syarat raih pinjaman rp669 miliar  hallobisniscom,2
2024-09-09,meski biaya dana naik prospek saham bank tetap kuat dengan top picks bbri bbca dan bbni,1
2024-09-13,daftar saham 9 naga di indonesia mana paling cuan dikoleksi,1
2024-09-16,diamdiam saham bbca cetak rekor ath cek rekomendasi analis [SEP] harganya sahamnya lagi anjlok unilever tetap jadi incaran investor [SEP] bmri bbri bbca bbtn mana dulu yang mesti dipilih,3
2024-09-17,lewat produk ssf saham big caps kini bisa dibeli dengan harga lebih murah,1
2024-09-19,ihsg ditutup cetak ath 7905 tak ketinggalan saham bbca rekor ke rp 10900,1
2024-09-25,saham bbca sumringah meski ada stimulus jumbo china begini prospek cuannya [SEP] saham bbca sempat sentuh all time high bagaimana prospeknya,2
2024-09-26,bobot emiten big cap bren bbca bbri bmri tlkm asii ke ihsg turun,1
2024-09-27,saham bbca emiten dengan kapitalisasi pasar terbesar,1
2024-09-30,saham bbri bbca dan bmri kompak turun begini strategi investasinya,1
2024-10-01,saham big bank koreksi kesempatan cicil beli mulai lagi [SEP] saham big bank koreksi kesempatan cicil beli mulai lagi,2
2024-10-08,bareksa insight oktober bulan cuan simak rekomendasi saham bbri bmri bbca myor hingga smra,1
2024-10-14,ihsg hijau efek sri mulyani akan jabat menkeu lagi bbri brms bmri hingga bbca jadi saham trending,1
2024-10-17,bca bbca gelontorkan green financing rp 200 triliun lebih,1
2024-10-18,10 saham yang bagus untuk jangka panjang pantau terus aplikasinya,1
2024-10-23,saham bbca naik 143 jelang rilis laporan keuangan q32024 [SEP] kredit bbca di kuartal iii melesat 145 dan laba bersih naik 128 ini rekomendasi sahamnya [SEP] pendorong laba bank bca bbca bisa naik 128 jadi rp411 t [SEP] bbca cetak laba rp 411 triliun di kuartal iii2024 naik 128,4
2024-10-25,siapsiap 5 emiten ini tebar dividen ada bbri hingga unvr,1
2024-10-29,ini dia daftar saham stock split di bursa efek indonesia [SEP] banyak blue chip ini saham pilihan di indeks kompas100 untuk akhir tahun 2024,2
2024-10-30,saham djarum yang prospektif bagi investor tertarik,1
2024-10-31,rekomendasi dan arah pergerakan saham 31 oktober 2024 [SEP] bbri bmri bbni bbca ini dia perbandingan kinerja bank big 4 [SEP] kinerja big banks hingga kuartal iii membara ini rekomendasi saham bbri bbni bmri dan bbca,3
2024-11-01,3 saham big bank tumbang siapa yang sudah diskon besar [SEP] 3 saham big bank tumbang siapa yang sudah diskon besar,2
2024-11-04,ihsg bakal tersokong sentimen domestik dan global intip peluang cuan saham itmg bbca dan adro,1
2024-11-07,bren dan bbca rontok ihsg amblas 19 persen  hallobisniscom [SEP] trump menang tekan saham bank putusan the fed bisa kerek bbri bbca bmri dan bbni,2
2024-11-11,saham bbri bbca bmri dan bbni anjlok 6 sepekan efek trump ini potensi kenaikan harga di 2025,1
2024-11-12,bca bagikan dividen interim tunai rp50 per saham [SEP] bca bbca bagikan dividen interim rp 616 triliun simak jadawal ini [SEP] bbca sampaikan jadwal dan tata cara pembagian dividen interim tunai tahun buku 2024 [SEP] bca bbca akan bagikan dividen interim tunai rp50 per saham [SEP] bca bagikan dividen interim rp 50 per saham,5
2024-11-13,saham big banks bbri bbca bmri melaju di teritori hijau [SEP] bei luncurkan fitur single stock futures apa manfaatnya,2
2024-11-14,morgan stanley proyeksi pasar saham ri menarik perhatikan risiko dan pilihan saham,1
2024-11-19,harga saham bbca turun di bawah rp10000 masih mahal atau sudah murah,1
2024-11-25,ihsg sudah bottom dan berpotensi rebound saham bbri bbca bmri dan bbni siap terbang,1
2024-11-26,investor saham bbri tembus setengah juta dijuluki saham rakyat,1
2024-11-28,nabung rutin di saham bbca selama 3 tahun cuan berapa,1
2024-12-02,sahamsaham ini prospektif cuan seiring potensi santa claus rally di desember 2024,1
2024-12-04,ihsg terbang investor asing net buy rp2 t borong bbcabmri [SEP] sahamsaham ini siap unjuk gigi lagi usai gigit jari,2
2024-12-05,ini daftar terbaru peringkat 10 orang terkaya di indonesia 2024,1
2024-12-09,mirae asset prediksi ihsg moncer tahun depan sahamsaham ini jadi andalan,1
2024-12-10,bca bbca gencarkan edukasi nasabah untuk menangkal penipuan,1
2024-12-11,bca bagi dividen interim rp 61 t hartono bersaudara dapat segini,1
2024-12-16,deretan anak perusahaan djarum group di berbagai sektor,1
2024-12-17,mundur dari komisaris utama djohan emir ternyata genggam saham bca bbca rp 107 triliun [SEP] presiden komisaris bank central asia bbca djohan emir setijoso mengundurkan diri [SEP] djohan emir setijoso mundur dari kursi presiden komisaris bca bbca,3
2024-12-18,mundur dari presiden komisaris djohan emir punya saham bca bbca rp 107 triliun [SEP] ihsg dibuka rebound saham lion kembali cetak ara,2
2024-12-19,harga saham bbca longsor seiring aksi jual asing dimotori blackrock dan fidelity,1
2024-12-30,rotasi top 10 big cap pada 2024 bren di puncak asii dan bbni terdepak [SEP] bbri bbca bmri bbni siapa jadi top picks 2025 [SEP] atur ulang strategi investasi untuk tahun 2025 volatilitas pasar masih menghantui [SEP] berita populer terungkap alasan penurunan saham bri bbri hingga top picks sektor perbankan 2025 [SEP] pilihpilih emiten grup astra asii djarum dan sinarmas mana yang unggul,5
2025-01-03,harga saham bbca 3 januari 2025 turun di sesi pertama ke posisi rp 9850 per lembar saham  media pemalang,1
2025-01-13,harga bbri bmri bbca dan bbni semakin murah saatnya serok saham big banks [SEP] proyeksi laba  target harga saham big bank pada 2025 menurut analis,2
2025-01-14,menghitung harga bottom saham bbri yang sudah di bawah rp4000,1
2025-01-15,jangan takut saham big bank loyo bangkitnya tak butuh lama [SEP] menilik prospek kinerja emiten berdividen tinggi di tahun 2025,2
2025-01-16,aksi investor asing jadi kunci kokohnya saham bbca di 2024 begini trennya di 2025 [SEP] adu kinerja bbcabbribmribbni per november 2024 siapa paling kuat,2
2025-01-20,anak usaha emiten pengelola glodok plaza tarik utang ke bbca jumlahnya jumbo,1
2025-01-22,bca bbca serahkan 147 sertifikat halal ke umkm di bali,1
2025-01-23,laba bersih bbca di 2024 melesat jadi rp548 triliun sesuai ekspektasi ini rekomendasi sahamnya [SEP] begini gerak saham bbca jelang paparan kinerja keuangan 2024 [SEP] laba bca bbca 2024 capai rp548 triliun tumbuh 127,3
2025-01-24,laba melesat 13 di 2024 saham bbca diganjar rekomendasi dan target harga begini [SEP] peluang buy saham bbca di akhir januari 2025 untuk idxbbca oleh mandryf [SEP] bbca mau rupst siapsiap dividen [SEP] kinerja 2024 di atas target saham bbca direkomendasi beli dan prediksi yield dividen 2025 segini,4
2025-01-27,saham bbca sudah diskon buy or bye,1
2025-01-28,blackrock bikin saham bca anjlok 5 seminggu saatnya buy or bye [SEP] prediksi dividen jumbo 2025 bbri bbca bmri dan bbni  siapa juaranya,2
2025-01-29,jpmorgan nomura dan blackrock borong empat saham bank besar ri,1
2025-01-30,saham bbca terkoreksi di januari 2025 simak realisasi kinerja dan rekomendasinya [SEP] intip deretan saham koleksi swf norges di indonesia terbanyak ada di bbca dan bbri  bagian all,2
